1537k  223.10.19.118:8083
1531k  113.26.167.160:8083
1515k  1.70.33.64:8083
1503k  1.70.33.64:8085
1501k  113.26.167.160:8082
1492k  1.70.33.64:8082
1295k  113.26.166.90:8083
1268k  223.10.63.66:8082
1267k  223.10.63.66:8083
1230k  113.26.166.90:8082
1202k  1.70.33.64:8084
1057k  223.11.157.81:7777
1056k  113.26.65.168:8083
1055k  223.10.20.17:8084
1041k  223.10.20.17:8082
1041k  223.10.19.118:8082
1041k  113.26.65.168:8082
1034k  223.10.20.17:8083
1030k  113.26.65.168:8084
849k  110.179.80.66:8083
542k  110.178.52.111:8084
503k  110.179.80.66:8084
493k  110.178.52.75:8085
483k  110.178.52.75:8084
423k  1.70.35.197:8084
365k  1.70.35.197:8085
350k  110.178.52.75:8082
280k  110.178.52.111:8083
255k  110.179.80.66:8082
255k  1.70.35.197:8083
236k  110.178.52.111:8085
234k  110.178.52.111:8082
185k  1.70.35.197:8082
